Date;Open;High;Low;Close;Volume;Ex-Dividend;Split Ratio;Adj. Open;Adj. High;Adj. Low;Adj. Close;Adj. Volume
2016-07-05;705.01;708.12;699.13;704.89;1422028.0;0.0;1.0;705.01;708.12;699.13;704.89;1422028.0
2016-07-06;699.84;713.0;699.0;708.97;1445126.0;0.0;1.0;699.84;713.0;699.0;708.97;1445126.0
2016-07-07;710.11;710.17;700.67;707.26;1058698.0;0.0;1.0;710.11;710.17;700.67;707.26;1058698.0
2016-07-08;710.56;717.9;708.11;717.78;1497323.0;0.0;1.0;710.56;717.9;708.11;717.78;1497323.0
2016-07-11;719.42;728.9289;718.865;727.2;1441113.0;0.0;1.0;719.42;728.9289;718.865;727.2;1441113.0
2016-07-12;731.92;735.6;727.5;732.51;1328680.0;0.0;1.0;731.92;735.6;727.5;732.51;1328680.0
2016-07-13;735.52;735.52;729.02;729.48;1021827.0;0.0;1.0;735.52;735.52;729.02;729.48;1021827.0
2016-07-14;733.94;736.14;730.59;735.8;1070351.0;0.0;1.0;733.94;736.14;730.59;735.8;1070351.0
2016-07-15;741.0;741.0;734.64;735.63;1617087.0;0.0;1.0;741.0;741.0;734.64;735.63;1617087.0
2016-07-18;737.91;755.1369;736.51;753.2;1934900.0;0.0;1.0;737.91;755.1369;736.51;753.2;1934900.0
2016-07-19;749.87;756.59;748.489;753.41;1521795.0;0.0;1.0;749.87;756.59;748.489;753.41;1521795.0
2016-07-20;754.05;760.64;754.05;757.08;1125117.0;0.0;1.0;754.05;760.64;754.05;757.08;1125117.0
2016-07-21;757.0;758.15;751.52;754.41;953053.0;0.0;1.0;757.0;758.15;751.52;754.41;953053.0
2016-07-22;757.32;759.45;752.655;759.28;1046024.0;0.0;1.0;757.32;759.45;752.655;759.28;1046024.0
2016-07-25;757.68;759.8249;754.07;757.52;1073310.0;0.0;1.0;757.68;759.8249;754.07;757.52;1073310.0
2016-07-26;757.52;759.26;752.7503;757.65;1189573.0;0.0;1.0;757.52;759.26;752.7503;757.65;1189573.0
2016-07-27;758.97;764.45;755.93;761.97;1608589.0;0.0;1.0;758.97;764.45;755.93;761.97;1608589.0
2016-07-28;768.84;768.97;759.09;765.84;3673221.0;0.0;1.0;768.84;768.97;759.09;765.84;3673221.0
2016-07-29;797.71;803.94;790.0;791.34;5090527.0;0.0;1.0;797.71;803.94;790.0;791.34;5090527.0
2016-08-01;786.67;807.49;785.04;800.94;3029658.0;0.0;1.0;786.67;807.49;785.04;800.94;3029658.0
2016-08-02;797.33;802.32;794.53;800.12;1996354.0;0.0;1.0;797.33;802.32;794.53;800.12;1996354.0
2016-08-03;796.47;799.54;793.02;798.92;1461025.0;0.0;1.0;796.47;799.54;793.02;798.92;1461025.0
2016-08-04;798.24;800.2;793.92;797.25;1076031.0;0.0;1.0;798.24;800.2;793.92;797.25;1076031.0
2016-08-05;800.11;807.22;797.81;806.93;1807271.0;0.0;1.0;800.11;807.22;797.81;806.93;1807271.0
2016-08-08;806.0;807.6;801.69;805.23;1221609.0;0.0;1.0;806.0;807.6;801.69;805.23;1221609.0
2016-08-09;804.49;813.33;804.06;807.48;1607685.0;0.0;1.0;804.49;813.33;804.06;807.48;1607685.0
2016-08-10;807.05;810.879;806.49;808.49;918514.0;0.0;1.0;807.05;810.879;806.49;808.49;918514.0
2016-08-11;810.47;813.879;806.0;808.2;1282274.0;0.0;1.0;810.47;813.879;806.0;808.2;1282274.0
2016-08-12;805.09;807.19;803.64;807.05;897283.0;0.0;1.0;805.09;807.19;803.64;807.05;897283.0
2016-08-15;807.21;811.36;804.03;805.96;930074.0;0.0;1.0;807.21;811.36;804.03;805.96;930074.0
2016-08-16;803.5;804.26;797.0;801.19;1057897.0;0.0;1.0;803.5;804.26;797.0;801.19;1057897.0
2016-08-17;800.0;805.63;796.3;805.42;1066070.0;0.0;1.0;800.0;805.63;796.3;805.42;1066070.0
2016-08-18;805.36;808.0;801.63;802.75;865160.0;0.0;1.0;805.36;808.0;801.63;802.75;865160.0
2016-08-19;799.79;801.23;796.88;799.65;1120763.0;0.0;1.0;799.79;801.23;796.88;799.65;1120763.0
2016-08-22;798.51;799.3;794.33;796.95;853365.0;0.0;1.0;798.51;799.3;794.33;796.95;853365.0
2016-08-23;800.48;801.0;795.99;796.59;917513.0;0.0;1.0;800.48;801.0;795.99;796.59;917513.0
